name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
G25长深高速与留下枢纽路口-东北向西南-1892,394,,1,0,120.0588544453125,30.222024367187498,POINT(120.0588544453125 30.222024367187498)
G25长深高速与留下枢纽路口-东北向西南-1992,395,,1,0,120.05941757031249,30.2212662421875,POINT(120.05941757031249 30.2212662421875)
G25长深高速与留下枢纽路口-东北向西南-2092,396,,1,0,120.059975375,30.220515304687503,POINT(120.059975375 30.220515304687503)
G25长深高速与留下枢纽路口-东北向西南-2192,397,,1,0,120.06053524999999,30.219757281250004,POINT(120.06053524999999 30.219757281250004)
G25长深高速与留下枢纽路口-东北向西南-4692,398,,1,0,120.05769455664063,30.19813778613281,POINT(120.05769455664063 30.19813778613281)
G25长深高速与留下枢纽路口-东北向西南-2292,399,,1,0,120.06104225,30.2189715,POINT(120.06104225 30.2189715)
G25长深高速与留下枢纽路口-东北向西南-2392,400,,1,0,120.06147787500001,30.21814878125,POINT(120.06147787500001 30.21814878125)
G25长深高速与留下枢纽路口-东北向西南-2492,401,,1,0,120.06180700000002,30.217303062499997,POINT(120.06180700000002 30.217303062499997)
G25长深高速与留下枢纽路口-东北向西南-2592,402,,1,0,120.0620421328125,30.216425078125003,POINT(120.0620421328125 30.216425078125003)
G25长深高速与留下枢纽路口-东北向西南-12492,403,,1,0,120.096225828125,30.1395273125,POINT(120.096225828125 30.1395273125)
G25长深高速与留下枢纽路口-东北向西南-2692,404,,1,0,120.06215237500001,30.215526375,POINT(120.06215237500001 30.215526375)
G25长深高速与留下枢纽路口-东北向西南-2792,405,,1,0,120.06217812500002,30.214630562500002,POINT(120.06217812500002 30.214630562500002)
G25长深高速与留下枢纽路口-东北向西南-2892,406,,1,0,120.062091125,30.213733937500002,POINT(120.062091125 30.213733937500002)
G25长深高速与留下枢纽路口-东北向西南-2992,407,,1,0,120.06190824999999,30.2128553125,POINT(120.06190824999999 30.2128553125)
G25长深高速与留下枢纽路口-东北向西南-3092,408,,1,0,120.061629875,30.211982749999997,POINT(120.061629875 30.211982749999997)
G25长深高速与留下枢纽路口-东北向西南-4792,409,,1,0,120.0575851953125,30.197242503906253,POINT(120.0575851953125 30.197242503906253)
G25长深高速与留下枢纽路口-东北向西南-3192,410,,1,0,120.0612487890625,30.211150726562504,POINT(120.0612487890625 30.211150726562504)
G25长深高速与留下枢纽路口-东北向西南-3292,411,,1,0,120.060825671875,30.210326171875003,POINT(120.060825671875 30.210326171875003)
G25长深高速与留下枢纽路口-东北向西南-3392,412,,1,0,120.06040153125,30.209505531250002,POINT(120.06040153125 30.209505531250002)
G25长深高速与留下枢纽路口-东北向西南-3492,413,,1,0,120.0599789140625,30.208683156250004,POINT(120.0599789140625 30.208683156250004)
G25长深高速与留下枢纽路口-东北向西南-3592,414,,1,0,120.0595689296875,30.207861640625,POINT(120.0595689296875 30.207861640625)
G25长深高速与留下枢纽路口-东北向西南-12592,415,,1,0,120.0970081953125,30.1389370625,POINT(120.0970081953125 30.1389370625)
G25长深高速与留下枢纽路口-东北向西南-13492,416,,1,0,120.10485702734377,30.13455610546875,POINT(120.10485702734377 30.13455610546875)
G25长深高速与留下枢纽路口-东北向西南-13592,417,,1,0,120.105774,30.134141,POINT(120.105774 30.134141)
G25长深高速与留下枢纽路口-东北向西南-4892,418,,1,0,120.05747665625,30.196353953125,POINT(120.05747665625 30.196353953125)
G25长深高速与留下枢纽路口-东北向西南-4992,419,,1,0,120.05736647265624,30.195451939453125,POINT(120.05736647265624 30.195451939453125)
G25长深高速与留下枢纽路口-东北向西南-5092,420,,1,0,120.05725793359375,30.194563388671877,POINT(120.05725793359375 30.194563388671877)
