link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0844:00_0845:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0845:00_0846:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0846:00_0847:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0847:00_0848:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0848:00_0849:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0849:00_0850:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0850:00_0851:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0851:00_0852:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0852:00_0853:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0853:00_0854:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0854:00_0855:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0855:00_0856:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0856:00_0857:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0857:00_0858:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0858:00_0859:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0859:00_0900:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0701:00_0702:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0702:00_0703:00,0.000,1.000,0.000,0.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0703:00_0704:00,1.000,34.000,1.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0704:00_0705:00,33.000,68.000,34.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0705:00_0706:00,34.000,101.000,68.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0706:00_0707:00,33.000,134.000,101.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0707:00_0708:00,33.000,168.000,134.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0708:00_0709:00,34.000,201.000,168.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0709:00_0710:00,33.000,234.000,201.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0710:00_0711:00,33.000,268.000,234.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0711:00_0712:00,34.000,301.000,268.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0712:00_0713:00,33.000,334.000,301.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0713:00_0714:00,33.000,368.000,334.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0714:00_0715:00,34.000,401.000,368.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0715:00_0716:00,33.000,434.000,401.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0716:00_0717:00,33.000,468.000,434.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0717:00_0718:00,34.000,501.000,468.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0718:00_0719:00,33.000,534.000,501.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0719:00_0720:00,33.000,568.000,534.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0720:00_0721:00,34.000,601.000,568.000,11.000,0.000,1.000,0.000,60.000,simulation-based
