link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,VDF_TYPE,daily_alpha,daily_beta
78,3,4,2/13/2016,7,1,0600_0900,72.0,24.0,72.47222222250001,0.336907764031725,0,0,29.0,12.0,1.5,0.0,68.44444444666667,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.09460072820020615,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/14/2016,7,1,0600_0900,44.0,16.0,73.12121212090909,0.2190988442369231,0,0,11.0,12.0,1.5714285714285714,0.0,72.5,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.035883034834560956,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/15/2016,7,1,0600_0900,86.0,28.666666666666668,72.77777777666665,0.39537553099093664,0,0,37.0,16.0,1.2647058823529411,0.0,70.55555555333333,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.12069748080715957,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/16/2016,7,1,0600_0900,133.0,44.333333333333336,71.38888888916667,0.6205740381349479,0,0,29.0,32.0,1.3854166666666667,0.0,72.08333333499999,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.09460072820020615,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/17/2016,7,1,0600_0900,111.0,37.0,70.98611111166667,0.520023325014354,0,0,20.0,24.0,1.85,0.0,70.1250000025,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.06524188151738355,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/18/2016,7,1,0600_0900,147.0,49.0,72.97222222166667,0.6751136999988138,0,0,49.0,12.0,1.9342105263157894,0.0,71.88888888999999,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.1598426097175897,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/19/2016,7,1,0600_0900,139.0,46.333333333333336,72.16666666666667,0.6389112794154395,0,0,30.0,28.0,1.3365384615384615,0.0,70.4166666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.09786282227607533,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/2/2016,7,1,0600_0900,124.0,41.333333333333336,73.79166666750001,0.5612074341797559,0,0,50.0,28.0,1.8235294117647058,0.0,73.6666666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.1631047037934589,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/20/2016,7,1,0600_0900,97.0,32.333333333333336,72.13888888833333,0.4504842531217467,0,0,21.0,20.0,1.2763157894736843,0.0,73.375,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.06850397559325273,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/21/2016,7,1,0600_0900,62.0,20.666666666666668,72.45833333333334,0.2834518441130221,0,0,15.0,20.0,1.55,0.0,70.5833333325,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.048931411138037666,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/23/2016,7,1,0600_0900,128.0,42.666666666666664,73.0,0.5873125721490305,0,0,53.0,24.0,1.7777777777777777,0.0,71.9166666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.17289098602106642,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
