link_id,from_node_id,to_node_id,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,VOC,VOC_period,alpha,beta,peak_factor,period_cap,vol_valid,demand_est
40714AB,37377,11145,1,1,0600_0900,3014.8333333333335,1004.9444444444445,63.14583333416667,15.934715370712967,0.0,0.0,1081.0,0.6405141909630429,0.9651255250492832,0.37,5.64,2.7889300030835646,4706.895453479948,1233.5429831221272,3014.8333333333335
7230AB,10937,10938,1,1,0600_0900,3298.125,1099.375,62.772916666666674,17.53124113876041,0.0,0.0,1060.25,0.6282193996008938,0.9651255250492832,0.37,5.64,3.1107050224003774,5249.957263489938,1207.2313287649895,3298.125
7279AB,10737,10941,1,1,0600_0900,4122.25,1374.0833333333333,38.880208333333336,36.950312229804474,0.0,4.0,1790.625,1.0609812425468996,0.9651255250492832,0.37,5.64,2.302129144851658,3885.3184530430376,1669.1871976972675,4122.25
7348AB,11007,10994,1,1,0600_0900,3355.1000000000004,1118.3666666666668,27.48416666666667,40.75270338862875,0.0,11.0,3355.1000000000004,1.9879640722480159,0.9651255250492832,0.37,5.64,1.0,1687.706557093866,528.1266844799518,3355.1000000000004
7349AB,10977,11002,1,1,0600_0900,2495.0,831.6666666666666,68.09416666666667,12.223813266170723,0.0,0.0,936.3000000000001,0.5547765374641046,0.9651255250492832,0.37,5.64,2.664744205916907,4497.306269303851,1045.8303879101377,2495.0000000000005
7496AB,11084,11085,1,1,0600_0900,4551.333333333333,1517.111111111111,63.32777777916667,24.035416344931615,0.0,0.0,1634.0,0.9681777872651359,0.9651255250492832,0.37,5.64,2.785393716850265,4700.927240016247,1684.7614098381969,4551.333333333333
7596AB,11142,37380,1,1,0600_0900,3393.6666666666665,1131.2222222222222,30.055555555833333,42.08409132867935,0.0,11.0,3393.6666666666665,2.010815596113086,0.9651255250492832,0.37,5.64,1.0,1687.706557093866,512.244862431744,3393.666666666666
7922AB,11272,11293,1,1,0600_0900,3579.3999999999996,1193.1333333333332,61.89000000000001,19.297879094980782,0.0,0.0,1140.2,0.6755913788492706,0.9651255250492832,0.37,5.64,3.1392738116119974,5298.172996370622,1306.842337421454,3579.4
7925AB,11295,11273,1,1,0600_0900,3973.3999999999996,1324.4666666666665,35.75333333333334,37.28693415703352,0.0,11.0,3973.3999999999996,2.354319228836775,0.9651255250492832,0.37,5.64,1.0,1687.706557093866,333.35444378501404,3973.399999999999
9417AB,12001,12002,1,1,0600_0900,3905.4166668000003,1301.8055556000002,65.13402777750001,20.001285958571028,0.0,0.0,1304.25,0.7727942956184538,0.9651255250492832,0.37,5.64,2.994377356181714,5053.630298441273,1489.053156064459,3905.4166668000003
9419AB,12005,12006,1,1,0600_0900,4809.166666666667,1603.0555555555557,36.38611111083333,45.01301794502094,0.0,11.0,4809.166666666667,2.8495277490346287,0.9651255250492832,0.37,5.64,1.0,1687.706557093866,195.96092603667486,4809.166666666667
10072AB,12413,12466,1,1,0900_1400,6195.499999999999,1239.1,66.79499999900001,18.559538823369742,0.0,0.0,1243.6666666666665,0.7368974549747495,0.7742306109114488,0.38,4.49,4.981640310908603,8407.547017803576,1513.6257974884943,6195.499999999999
10076AB,12467,12451,1,1,0900_1400,6728.333333333334,1345.6666666666667,66.76250000099999,20.17596118518698,0.0,0.0,1289.3333333333333,0.7639558713059049,0.7742306109114488,0.38,4.49,5.218459152016547,8807.227728784823,1548.3561908047727,6728.333333333336
10080AB,12469,12470,1,1,0900_1400,6676.000000000001,1335.2000000000003,56.134166666,25.478947867630573,17.0,19.0,1463.1666666666667,0.8669556093839891,0.7742306109114488,0.38,4.49,4.5627064585943735,7700.509608264256,1646.9929362135993,6676.000000000001
10085AB,12478,12479,1,1,0900_1400,6523.166666666666,1304.6333333333332,62.0716666675,21.055791715532912,0.0,0.0,1324.6666666666667,0.7848915802920544,0.7742306109114488,0.38,4.49,4.924383492702566,8310.914310278913,1572.8466835875856,6523.166666666665
