link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
11283BA,12854,12845,1/1/2018,6,2,0600_0900,1043.5,347.8333333333333,37.362500000000004,9.36931732113132,0,0,459.5,122.0,2.2709466811751904,0.25,603.7416049010566,0.0021478739928458583
11323AB,13080,13077,1/1/2018,6,2,0600_0900,1335.0,445.0,35.2,12.853900264558177,0,0,530.5,200.0,2.5164938737040528,0.25,1608.4310228137804,0.0034905187127035157
11323BA,13077,13080,1/1/2018,6,2,0600_0900,2300.0,766.6666666666666,43.13333333333333,17.892668499237757,0,0,802.5,422.0,2.866043613707165,0.25,87.15097783572328,8.963494132985626e-05
11333AB,13085,38068,1/1/2018,6,2,0600_0900,1178.5,392.8333333333333,31.654166666666665,12.485188857244118,0,0,299.5,196.0,3.9348914858096826,0.25,3101.2201956826393,0.006867427091488271
11333BA,38068,13085,1/1/2018,6,2,0600_0900,716.3333333649999,238.7777777883333,29.4888888875,8.104862581315812,0,0,175.666666665,186.66666666,4.07779886169903,0.25,3947.624311112233,0.009178813967757672
11372AB,13147,13148,1/1/2018,6,2,0600_0900,371.0,123.66666666666667,27.208333333333332,4.586322564925857,0,0,137.5,70.0,2.6981818181818182,0.25,1949.7490516328228,0.012089217830064626
11372BA,13148,13147,1/1/2018,6,2,0600_0900,612.6666666666666,204.2222222222222,26.8722222225,7.6073338927364516,0,0,167.66666666666666,146.66666666666666,3.6540755467196817,0.25,4236.114515441233,0.012535850246926
11520AB,13208,13146,1/1/2018,6,2,0600_0900,1271.0,423.6666666666667,31.766666666666666,13.396545580365874,0,0,555.0,198.0,2.2900900900900902,0.25,3249.513102101837,0.007123126012954714
11520BA,13146,13208,1/1/2018,6,2,0600_0900,742.5,247.5,28.212500000000002,8.801482981741431,0,0,248.0,158.0,2.993951612903226,0.25,3904.594785617604,0.010725965809647513
11601AB,13265,13259,1/1/2018,6,2,0600_0900,1432.5,477.5,28.683333333333334,16.772648140269144,0,0,602.5,222.0,2.3775933609958506,0.25,5118.4073822899445,0.010006896314849897
11601BA,13259,13265,1/1/2018,6,2,0600_0900,993.5,331.1666666666667,23.004166666666666,14.770856877565995,0,0,323.0,202.0,3.0758513931888545,0.25,8960.650104753588,0.019253322041635698
11666AB,12331,13261,1/1/2018,6,2,0600_0900,1942.0,647.3333333333334,30.858333333333334,21.51538999698241,0,0,563.0,262.0,3.4493783303730017,0.25,4605.559559852456,0.0076295449663586305
11666BA,13261,12331,1/1/2018,6,2,0600_0900,1156.5,385.5,26.508333333333336,15.075483744610667,0,0,468.5,182.0,2.4685165421558164,0.25,5564.755549420334,0.013270651016436617
11667AB,13310,13309,1/1/2018,6,2,0600_0900,869.5,289.8333333333333,26.741666666666664,11.0838767989693,0,0,360.5,136.0,2.4119278779472952,0.25,3989.0612179679883,0.01273061305775119
11667BA,13309,13310,1/1/2018,6,2,0600_0900,1371.5,457.1666666666667,31.187500000000004,15.015718632333714,0,0,311.5,162.0,4.402889245585874,0.25,2802.016380849894,0.007507116932575377
11670AB,13310,13263,1/1/2018,6,2,0600_0900,1728.0,576.0,28.854166666666668,20.192915867780414,0,0,530.0,228.0,3.260377358490566,0.25,5208.022196869092,0.009914150441773824
11670BA,13263,13310,1/1/2018,6,2,0600_0900,1299.5,433.1666666666667,24.34583333333333,18.178563498470755,5,5,472.0,510.0,2.753177966101695,0.25,19648.145250556776,0.0167212565108905
11701AB,13260,13085,1/1/2018,6,2,0600_0900,1221.0,407.0,28.470833333333335,14.476535802379475,0,0,488.5,238.0,2.4994882292732856,0.25,5644.429762882982,0.010293442465575
11701BA,13085,13260,1/1/2018,6,2,0600_0900,1300.5,433.5,29.533333333333328,15.182996791243404,0,0,541.5,186.0,2.401662049861496,0.25,3986.79092909375,0.009303107566769692
