node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
34,,1,0,120.0190781,30.23706497,POINT(120.01907810156249 30.237064968749998)
35,,1,0,120.0201032,30.23720838,POINT(120.0201031875 30.237208376953127)
36,,1,0,120.0211204,30.23736622,POINT(120.021120375 30.23736622265625)
37,,1,0,120.0395707,30.24023175,POINT(120.0395706640625 30.24023175390625)
38,,1,0,120.0221485,30.23752577,POINT(120.02214850000001 30.237525765625)
39,,1,0,120.0231766,30.23768531,POINT(120.023176625 30.23768530859375)
40,,1,0,120.0241938,30.23784315,POINT(120.02419381249999 30.237843154296876)
41,,1,0,120.0295944,30.340095,POINT(120.02959437499999 30.340095)
42,,1,0,120.0337585,30.33992184,POINT(120.033758484375 30.33992184375)
43,,1,0,120.0306362,30.34006517,POINT(120.03063621874999 30.340065171874997)
44,,1,0,120.0316792,30.340025,POINT(120.0316791875 30.340025000000004)
45,,1,0,120.0327197,30.339977,POINT(120.03271968749999 30.339976999999998)
46,,1,0,120.0420672,30.33932973,POINT(120.04206718750001 30.339329734375)
47,,1,0,120.043096,30.339244,POINT(120.043096 30.339244)
48,,1,0,120.0347973,30.33985458,POINT(120.03479725781251 30.339854578125006)
49,,1,0,120.0358383,30.3397845,POINT(120.03583828125001 30.3397845)
50,,1,0,120.0368699,30.33970731,POINT(120.03686990625 30.339707312499996)
51,,1,0,120.037907,30.33962528,POINT(120.037907015625 30.33962528125)
52,,1,0,120.0389434,30.33954921,POINT(120.03894344921875 30.339549207031254)
53,,1,0,120.0399841,30.33947802,POINT(120.03998410937501 30.339478015625)
54,,1,0,120.0129527,30.33941852,POINT(120.01295266796876 30.339418515625)
55,,1,0,120.0139853,30.3394986,POINT(120.01398527929686 30.339498601562497)
56,,1,0,120.0150289,30.3395785,POINT(120.01502889062499 30.3395785)
57,,1,0,120.0160651,30.33965584,POINT(120.01606510156249 30.339655843749995)
58,,1,0,120.0171044,30.33973213,POINT(120.01710438867188 30.339732132812497)
59,,1,0,120.0181437,30.33980842,POINT(120.01814367578123 30.339808421875006)
60,,1,0,120.0191763,30.33988422,POINT(120.0191762578125 30.33988421875)
61,,1,0,120.0202191,30.33994183,POINT(120.020219078125 30.339941828125)
62,,1,0,120.0212607,30.33999522,POINT(120.02126071875 30.339995218749998)
63,,1,0,120.022302,30.34003964,POINT(120.022302015625 30.340039640625)
64,,1,0,120.0410248,30.33940682,POINT(120.04102476953125 30.33940682421875)
65,,1,0,120.0233457,30.34007246,POINT(120.02334572265626 30.340072457031248)
66,,1,0,120.0243866,30.34009658,POINT(120.02438664062501 30.340096578125)
67,,1,0,120.0254276,30.3401207,POINT(120.02542755859376 30.34012069921875)
68,,1,0,120.0264635,30.340129,POINT(120.026463546875 30.340129)
69,,1,0,120.0275148,30.34012548,POINT(120.02751481249999 30.3401254765625)
70,,1,0,120.0285526,30.34011688,POINT(120.02855257812499 30.340116875)
71,,1,0,120.1044422,30.10360639,POINT(120.104442234375 30.103606390625)
72,,1,0,120.1089921,30.11926899,POINT(120.1089920703125 30.1192689921875)
73,,1,0,120.1048173,30.10443895,POINT(120.104817265625 30.104438953124998)
